equipo,year,pts,pj,pg,pe,pp,gf,gc
"Orense SC","El Nacional","1","0","2020"
"LDU Portoviejo","Aucas","3","2","2020"
"Mushuc Runa SC","Delfin SC","2","0","2020"
"River Plate Ecuador","Deportivo Cuenca","2","1","2020"
"Independiente","Orense SC","4","0","2020"
"Aucas","Universidad Católica","1","1","2020"
"CD Olmedo","LDU Portoviejo","1","3","2020"
"El Nacional","Macará","2","1","2020"
"Barcelona SC","Mushuc Runa SC","3","0","2020"
"Delfin SC","LDU de Quito","2","0","2020"
"Técnico Universitario","River Plate Ecuador","0","0","2020"
"Deportivo Cuenca","Emelec","2","1","2020"
"Aucas","Barcelona SC","2","1","2020"
"Macará","LDU de Quito","3","4","2020"
"Emelec","El Nacional","3","0","2020"
"River Plate Ecuador","Independiente","0","2","2020"
"LDU Portoviejo","Mushuc Runa SC","0","0","2020"
"Orense SC","Técnico Universitario","1","0","2020"
"Universidad Católica","Delfin SC","0","0","2020"
"CD Olmedo","Deportivo Cuenca","1","1","2020"
"Barcelona SC","River Plate Ecuador","2","0","2020"
"Delfin SC","CD Olmedo","3","1","2020"
"Independiente","Emelec","3","0","2020"
"El Nacional","Aucas","2","2","2020"
"LDU de Quito","LDU Portoviejo","1","1","2020"
"Deportivo Cuenca","Macará","2","1","2020"
"Técnico Universitario","Universidad Católica","1","0","2020"
"Mushuc Runa SC","Orense SC","0","0","2020"
"Emelec","Barcelona SC","1","1","2020"
"Independiente","El Nacional","2","0","2020"
"Universidad Católica","LDU de Quito","2","0","2020"
"River Plate Ecuador","LDU Portoviejo","3","1","2020"
"Deportivo Cuenca","Mushuc Runa SC","1","0","2020"
"Orense SC","Delfin SC","1","1","2020"
"Macará","Aucas","2","1","2020"
"CD Olmedo","Técnico Universitario","0","0","2020"
"Barcelona SC","Macará","3","0","2020"
"Aucas","Orense SC","4","1","2020"
"LDU Portoviejo","Universidad Católica","2","1","2020"
"Delfin SC","Independiente","1","0","2020"
"El Nacional","River Plate Ecuador","0","3","2020"
"Técnico Universitario","Deportivo Cuenca","1","1","2020"
"LDU de Quito","CD Olmedo","3","0","2020"
"Macará","LDU Portoviejo","1","0","2020"
"Emelec","Delfin SC","3","2","2020"
"Universidad Católica","Mushuc Runa SC","1","1","2020"
"Orense SC","Barcelona SC","0","0","2020"
"CD Olmedo","El Nacional","1","2","2020"
"River Plate Ecuador","LDU de Quito","1","1","2020"
"Deportivo Cuenca","Aucas","3","3","2020"
"Independiente","Técnico Universitario","1","0","2020"
"Barcelona SC","Deportivo Cuenca","2","0","2020"
"El Nacional","Universidad Católica","0","2","2020"
"Mushuc Runa SC","CD Olmedo","1","1","2020"
"LDU Portoviejo","Orense SC","1","2","2020"
"LDU de Quito","Emelec","1","2","2020"
"Técnico Universitario","Macará","0","1","2020"
"Delfin SC","River Plate Ecuador","1","1","2020"
"Aucas","Independiente","3","3","2020"
"El Nacional","Barcelona SC","1","1","2020"
"CD Olmedo","Universidad Católica","2","1","2020"
"Macará","Orense SC","0","1","2020"
"Emelec","Técnico Universitario","1","1","2020"
"Independiente","LDU Portoviejo","2","3","2020"
"LDU de Quito","Aucas","4","1","2020"
"Deportivo Cuenca","Delfin SC","2","1","2020"
"River Plate Ecuador","Mushuc Runa SC","3","2","2020"
"LDU Portoviejo","Emelec","0","6","2020"
"Aucas","CD Olmedo","3","3","2020"
"Barcelona SC","Independiente","2","0","2020"
"Mushuc Runa SC","LDU de Quito","1","2","2020"
"Universidad Católica","River Plate Ecuador","2","1","2020"
"Delfin SC","Macará","1","2","2020"
"Orense SC","Deportivo Cuenca","1","1","2020"
"Técnico Universitario","El Nacional","1","0","2020"
"Emelec","Universidad Católica","2","0","2020"
"River Plate Ecuador","Aucas","4","2","2020"
"LDU Portoviejo","Técnico Universitario","0","2","2020"
"CD Olmedo","Barcelona SC","1","0","2020"
"El Nacional","Delfin SC","1","3","2020"
"Independiente","Deportivo Cuenca","2","1","2020"
"LDU de Quito","Orense SC","4","0","2020"
"Macará","Mushuc Runa SC","0","3","2020"
"Barcelona SC","LDU de Quito","2","2","2020"
"Orense SC","CD Olmedo","2","1","2020"
"Universidad Católica","Independiente","3","1","2020"
"Aucas","Emelec","1","1","2020"
"Mushuc Runa SC","Técnico Universitario","0","1","2020"
"Delfin SC","LDU Portoviejo","4","2","2020"
"Deportivo Cuenca","El Nacional","0","0","2020"
"River Plate Ecuador","Orense SC","1","1","2020"
"LDU Portoviejo","Barcelona SC","0","2","2020"
"LDU de Quito","El Nacional","1","0","2020"
"CD Olmedo","Independiente","2","1","2020"
"Técnico Universitario","Delfin SC","1","1","2020"
"Emelec","Macará","0","0","2020"
"Universidad Católica","Deportivo Cuenca","0","1","2020"
"Mushuc Runa SC","Aucas","1","4","2020"
"Deportivo Cuenca","LDU Portoviejo","2","1","2020"
"Macará","CD Olmedo","1","0","2020"
"River Plate Ecuador","Emelec","1","0","2020"
"Orense SC","Universidad Católica","1","1","2020"
"Barcelona SC","Delfin SC","1","0","2020"
"El Nacional","Mushuc Runa SC","2","1","2020"
"Independiente","LDU de Quito","3","2","2020"
"Aucas","Técnico Universitario","2","1","2020"
"Universidad Católica","Macará","2","1","2020"
"Emelec","Orense SC","1","0","2020"
"CD Olmedo","River Plate Ecuador","1","2","2020"
"Técnico Universitario","Barcelona SC","0","2","2020"
"LDU Portoviejo","El Nacional","3","0","2020"
"Mushuc Runa SC","Independiente","3","2","2020"
"Delfin SC","Aucas","2","2","2020"
"LDU de Quito","Deportivo Cuenca","5","0","2020"
"Universidad Católica","Emelec","4","1","2020"
"Macará","Delfin SC","5","1","2020"
"River Plate Ecuador","Técnico Universitario","1","0","2020"
"Barcelona SC","El Nacional","0","0","2020"
"Orense SC","Independiente","1","3","2020"
"LDU de Quito","Mushuc Runa SC","2","0","2020"
"Aucas","LDU Portoviejo","4","1","2020"
"Deportivo Cuenca","CD Olmedo","0","3","2020"
"River Plate Ecuador","El Nacional","2","1","2020"
"Emelec","Deportivo Cuenca","2","0","2020"
"Delfin SC","Universidad Católica","0","0","2020"
"Independiente","Barcelona SC","1","1","2020"
"CD Olmedo","Aucas","3","2","2020"
"Técnico Universitario","LDU de Quito","0","5","2020"
"Mushuc Runa SC","River Plate Ecuador","2","1","2020"
"El Nacional","Orense SC","2","2","2020"
"Delfin SC","Mushuc Runa SC","4","1","2020"
"Emelec","LDU de Quito","1","1","2020"
"Universidad Católica","Técnico Universitario","2","1","2020"
"LDU Portoviejo","CD Olmedo","2","1","2020"
"Orense SC","Aucas","2","2","2020"
"Barcelona SC","Universidad Católica","1","0","2020"
"Orense SC","Macará","1","2","2020"
"Independiente","Delfin SC","4","2","2020"
"CD Olmedo","Emelec","1","1","2020"
"Aucas","Deportivo Cuenca","2","0","2020"
"El Nacional","Técnico Universitario","0","1","2020"
"LDU de Quito","River Plate Ecuador","2","0","2020"
"Mushuc Runa SC","LDU Portoviejo","1","0","2020"
"Macará","Barcelona SC","1","1","2020"
"Deportivo Cuenca","Independiente","1","3","2020"
"Técnico Universitario","Orense SC","2","0","2020"
"Delfin SC","Deportivo Cuenca","2","1","2020"
"Aucas","River Plate Ecuador","3","1","2020"
"Macará","El Nacional","1","0","2020"
"Universidad Católica","CD Olmedo","3","1","2020"
"Mushuc Runa SC","Barcelona SC","1","2","2020"
"LDU Portoviejo","LDU de Quito","1","1","2020"
"El Nacional","Emelec","2","1","2020"
"CD Olmedo","Delfin SC","2","0","2020"
"River Plate Ecuador","Universidad Católica","1","3","2020"
"LDU Portoviejo","Independiente","1","2","2020"
"Barcelona SC","Aucas","4","2","2020"
"Orense SC","Mushuc Runa SC","0","2","2020"
"Deportivo Cuenca","Técnico Universitario","2","2","2020"
"LDU de Quito","Macará","1","0","2020"
"Delfin SC","El Nacional","2","1","2020"
"Técnico Universitario","Emelec","2","0","2020"
"Barcelona SC","CD Olmedo","3","1","2020"
"Universidad Católica","LDU Portoviejo","4","0","2020"
"Mushuc Runa SC","Deportivo Cuenca","1","1","2020"
"Orense SC","LDU de Quito","1","2","2020"
"Aucas","Macará","1","0","2020"
"River Plate Ecuador","Barcelona SC","2","1","2020"
"Mushuc Runa SC","Universidad Católica","1","2","2020"
"LDU de Quito","Delfin SC","1","0","2020"
"Emelec","LDU Portoviejo","2","1","2020"
"El Nacional","CD Olmedo","3","2","2020"
"Macará","Técnico Universitario","0","0","2020"
"Independiente","Aucas","1","1","2020"
"Deportivo Cuenca","Orense SC","2","2","2020"
"Barcelona SC","Emelec","2","1","2020"
"LDU de Quito","Universidad Católica","2","1","2020"
"Emelec","Mushuc Runa SC","2","0","2020"
"Técnico Universitario","CD Olmedo","1","3","2020"
"Deportivo Cuenca","Barcelona SC","0","3","2020"
"Aucas","El Nacional","2","0","2020"
"River Plate Ecuador","Delfin SC","0","0","2020"
"Independiente","Macará","4","4","2020"
"Orense SC","LDU Portoviejo","1","1","2020"
"Universidad Católica","Aucas","3","1","2020"
"CD Olmedo","LDU de Quito","2","3","2020"
"Delfin SC","Emelec","2","0","2020"
"Barcelona SC","Orense SC","1","0","2020"
"El Nacional","Independiente","2","4","2020"
"Deportivo Cuenca","River Plate Ecuador","1","1","2020"
"Mushuc Runa SC","Macará","2","0","2020"
"Técnico Universitario","LDU Portoviejo","3","1","2020"
